2018-12-23__09:57:28 0.73,0.52,0.47 40.72 43°C normal
2018-12-23__09:57:33 0.67,0.51,0.47 29.38 43°C normal
2018-12-23__09:57:39 0.62,0.50,0.47 32.82 43°C normal
2018-12-23__09:57:45 0.57,0.50,0.46 31.95 43°C normal
2018-12-23__09:57:50 0.56,0.50,0.46 42.63 42°C normal
2018-12-23__09:57:56 0.51,0.49,0.46 41.53 42°C normal
2018-12-23__09:58:01 0.47,0.48,0.46 37.11 43°C normal
2018-12-23__09:58:07 0.43,0.47,0.45 27.97 43°C normal
2018-12-23__09:58:13 0.40,0.46,0.45 29.23 43°C normal
2018-12-23__09:58:18 0.37,0.45,0.45 35.35 42°C normal
2018-12-23__09:58:24 0.34,0.45,0.45 52.55 42°C normal
2018-12-23__09:58:30 0.31,0.44,0.44 43.65 43°C normal
2018-12-23__09:58:37 0.49,0.47,0.46 42.28 44°C normal
2018-12-23__09:58:43 0.45,0.47,0.45 30.45 43°C normal
2018-12-23__09:58:48 0.41,0.46,0.45 37.05 42°C normal
2018-12-23__09:58:54 0.38,0.45,0.45 34.18 42°C normal
2018-12-23__09:59:00 0.35,0.44,0.45 33.67 42°C normal
2018-12-23__09:59:05 0.67,0.51,0.47 36.04 42°C normal
2018-12-23__09:59:11 0.62,0.50,0.47 49.49 43°C normal
2018-12-23__09:59:17 0.57,0.49,0.46 52.26 43°C normal
2018-12-23__09:59:22 0.52,0.48,0.46 35.67 42°C normal
2018-12-23__09:59:28 0.48,0.48,0.46 33.33 44°C normal
2018-12-23__09:59:33 0.44,0.47,0.45 38.19 44°C normal
2018-12-23__09:59:39 0.41,0.46,0.45 32.65 44°C normal
2018-12-23__09:59:45 0.37,0.45,0.45 29.50 42°C normal
2018-12-23__09:59:50 0.39,0.45,0.45 32.32 42°C normal
2018-12-23__09:59:58 0.36,0.45,0.45 66.83 44°C normal
2018-12-23__10:00:04 0.49,0.47,0.46 38.46 43°C normal
2018-12-23__10:00:09 0.45,0.46,0.45 27.36 43°C normal
2018-12-23__10:00:15 0.49,0.47,0.46 38.54 44°C normal
2018-12-23__10:00:20 0.49,0.47,0.46 28.50 43°C normal
2018-12-23__10:00:26 0.45,0.46,0.45 27.77 42°C normal
2018-12-23__10:00:32 0.58,0.49,0.46 28.92 42°C normal
2018-12-23__10:00:37 0.61,0.50,0.47 27.69 44°C normal
2018-12-23__10:00:43 0.64,0.51,0.47 28.28 42°C normal
2018-12-23__10:00:49 0.59,0.50,0.47 38.26 42°C normal
2018-12-23__10:00:54 0.54,0.49,0.46 27.50 42°C normal
2018-12-23__10:01:00 0.50,0.48,0.46 43.87 43°C normal
2018-12-23__10:01:06 0.64,0.52,0.47 38.80 43°C normal
2018-12-23__10:01:11 0.59,0.51,0.47 82.67 44°C normal
2018-12-23__10:01:18 0.54,0.50,0.46 31.12 42°C normal
2018-12-23__10:01:24 0.50,0.49,0.46 36.97 42°C normal
2018-12-23__10:01:30 0.46,0.48,0.46 32.32 42°C normal
2018-12-23__10:01:35 0.46,0.48,0.46 41.83 42°C normal
2018-12-23__10:01:41 0.43,0.47,0.46 34.82 43°C normal
2018-12-23__10:01:47 0.39,0.47,0.45 34.65 42°C normal
2018-12-23__10:01:52 0.36,0.46,0.45 35.67 43°C normal
2018-12-23__10:01:58 0.33,0.45,0.45 39.79 43°C normal
2018-12-23__10:02:03 0.38,0.46,0.45 56.15 44°C normal
2018-12-23__10:02:09 0.35,0.45,0.45 38.46 44°C normal
2018-12-23__10:02:15 0.32,0.44,0.45 31.47 44°C normal
2018-12-23__10:02:20 0.35,0.45,0.45 27.36 43°C normal
2018-12-23__10:02:26 0.32,0.44,0.45 27.69 44°C normal
2018-12-23__10:02:32 0.29,0.43,0.44 27.69 43°C normal
2018-12-23__10:02:37 0.43,0.46,0.45 28.43 42°C normal
2018-12-23__10:02:48 0.36,0.44,0.45 36.92 43°C normal
2018-12-23__10:02:54 0.42,0.45,0.45 31.47 44°C normal
2018-12-23__10:02:59 0.38,0.44,0.45 43.71 43°C normal
2018-12-23__10:03:05 0.35,0.43,0.45 33.99 44°C normal
2018-12-23__10:03:11 0.37,0.44,0.45 36.86 43°C normal
2018-12-23__10:03:16 0.43,0.44 41.91 44°C normal
2018-12-23__10:03:22 0.42,0.44 31.68 44°C normal
2018-12-23__10:03:27 0.43,0.44 33.33 44°C normal
2018-12-23__10:03:33 0.42,0.44 44.38 44°C normal
2018-12-23__10:03:39 0.42,0.44 43.00 44°C normal
2018-12-23__10:03:44 0.41,0.44 32.52 43°C normal
2018-12-23__10:03:50 0.40,0.43 35.56 44°C normal
2018-12-23__10:03:55 0.43,0.44 36.97 42°C normal
2018-12-23__10:04:01 0.43,0.44 43.81 44°C normal
2018-12-23__10:04:08 0.43,0.44 61.02 44°C normal
2018-12-23__10:04:14 0.43,0.45 28.85 44°C normal
2018-12-23__10:04:20 0.43,0.44 29.55 42°C normal
2018-12-23__10:04:25 0.42,0.44 36.36 42°C normal
2018-12-23__10:04:31 0.42,0.44 46.07 42°C normal
2018-12-23__10:04:37 0.42,0.44 56.06 44°C normal
2018-12-23__10:04:42 0.41,0.44 35.32 44°C normal
2018-12-23__10:04:48 0.40,0.43 27.04 42°C normal
2018-12-23__10:04:54 0.41,0.44 29.08 44°C normal
2018-12-23__10:04:59 0.40,0.44 27.41 42°C normal
2018-12-23__10:05:05 0.40,0.43 32.66 44°C normal
2018-12-23__10:05:10 0.39,0.43 27.31 42°C normal
2018-12-23__10:05:16 0.39,0.43 30.00 43°C normal
2018-12-23__10:05:22 0.40,0.43 41.75 42°C normal
2018-12-23__10:05:29 0.40,0.43 29.08 43°C normal
2018-12-23__10:05:34 0.42,0.44 47.50 43°C normal
2018-12-23__10:05:40 0.42,0.44 38.57 44°C normal
2018-12-23__10:05:46 0.44,0.45 35.35 44°C normal
2018-12-23__10:05:51 0.45,0.45 28.93 42°C normal
2018-12-23__10:05:57 0.44,0.45 27.63 42°C normal
2018-12-23__10:06:03 0.43,0.44 30.57 43°C normal
2018-12-23__10:06:08 0.42,0.44 29.70 42°C normal
2018-12-23__10:06:14 0.43,0.44 44.10 44°C normal
2018-12-23__10:06:20 0.43,0.44 54.59 44°C normal
2018-12-23__10:06:25 0.44,0.45 38.30 44°C normal
2018-12-23__10:06:31 0.46,0.45 27.94 43°C normal
2018-12-23__10:06:36 0.45,0.45 28.85 44°C normal
2018-12-23__10:06:42 0.47,0.46 28.50 42°C normal
2018-12-23__10:06:48 0.48,0.46 29.50 42°C normal
2018-12-23__10:06:57 0.56,0.49 29.26 42°C normal
2018-12-23__10:07:02 0.57,0.49 31.84 42°C normal
2018-12-23__10:07:08 0.56,0.49 28.85 42°C normal
2018-12-23__10:07:14 0.55,0.48 39.58 43°C normal
2018-12-23__10:07:19 0.54,0.48 26.63 42°C normal
2018-12-23__10:07:25 0.53,0.48 28.28 42°C normal
2018-12-23__10:07:31 0.54,0.48 50.00 42°C normal
2018-12-23__10:07:36 0.56,0.49 64.82 44°C normal
2018-12-23__10:07:42 0.55,0.48 29.55 44°C normal
2018-12-23__10:07:48 0.56,0.49 39.30 43°C normal
2018-12-23__10:07:53 0.55,0.48 26.80 43°C normal
2018-12-23__10:07:59 0.55,0.49 42.26 43°C normal
2018-12-23__10:08:05 0.54,0.48 41.00 44°C normal
2018-12-23__10:08:10 0.57,0.49 30.30 43°C normal
2018-12-23__10:08:17 0.57,0.49 29.55 42°C normal
2018-12-23__10:08:23 0.56,0.49 29.00 41°C normal
2018-12-23__10:08:29 0.56,0.49 33.33 42°C normal
2018-12-23__10:08:34 0.56,0.49 54.21 44°C normal
2018-12-23__10:08:40 0.56,0.49 37.24 43°C normal
2018-12-23__10:08:46 0.55,0.49 33.85 44°C normal
2018-12-23__10:08:51 0.55,0.49 32.83 42°C normal
2018-12-23__10:08:57 0.54,0.49 43.21 44°C normal
2018-12-23__10:09:02 0.62,0.51 33.16 44°C normal
2018-12-23__10:09:08 0.64,0.52 26.53 43°C normal
2018-12-23__10:09:14 0.63,0.52 28.93 43°C normal
2018-12-23__10:09:19 0.62,0.51 28.06 44°C normal
2018-12-23__10:09:25 0.61,0.51 27.77 42°C normal
2018-12-23__10:09:31 0.60,0.51 47.00 42°C normal
2018-12-23__10:09:38 0.59,0.51 61.30 44°C normal
2018-12-23__10:09:43 0.62,0.52 51.02 43°C normal
2018-12-23__10:09:49 0.61,0.51 42.78 44°C normal
2018-12-23__10:09:55 0.60,0.51 53.29 44°C normal
2018-12-23__10:10:00 0.65,0.53 36.50 44°C normal
2018-12-23__10:10:06 0.68,0.54 42.21 44°C normal
2018-12-23__10:10:11 0.67,0.54 39.89 44°C normal
2018-12-23__10:10:17 0.66,0.54 30.45 44°C normal
2018-12-23__10:10:23 0.65,0.53 33.33 42°C normal
2018-12-23__10:10:28 0.65,0.54 32.98 43°C normal
2018-12-23__10:10:34 0.66,0.54 46.19 44°C normal
2018-12-23__10:10:40 0.66,0.54 32.30 44°C normal
2018-12-23__10:10:45 0.69,0.55 36.13 43°C normal
2018-12-23__10:10:51 0.69,0.55 38.30 43°C normal
2018-12-23__10:10:56 0.79,0.58 37.18 44°C normal
2018-12-23__10:11:02 0.79,0.59 34.53 42°C normal
2018-12-23__10:11:08 0.78,0.58 48.29 45°C normal
2018-12-23__10:11:13 0.76,0.58 70.40 45°C normal
2018-12-23__10:11:19 0.75,0.58 39.89 45°C normal
2018-12-23__10:11:25 0.74,0.57 30.65 44°C normal
2018-12-23__10:11:30 0.72,0.57 31.03 44°C normal
2018-12-23__10:11:36 0.71,0.57 28.07 44°C normal
2018-12-23__10:11:42 0.70,0.56 29.14 44°C normal
2018-12-23__10:11:47 0.69,0.56 34.51 44°C normal
2018-12-23__10:11:53 0.68,0.56 32.82 44°C normal
2018-12-23__10:11:59 0.67,0.55 47.73 44°C normal
2018-12-23__10:12:04 0.66,0.55 27.04 42°C normal
2018-12-23__10:12:10 0.70,0.56 57.81 45°C normal
2018-12-23__10:12:15 0.70,0.57 45.17 44°C normal
2018-12-23__10:12:21 0.69,0.56 38.69 44°C normal
2018-12-23__10:12:28 0.70,0.57 31.95 44°C normal
2018-12-23__10:12:34 0.69,0.56 26.39 42°C normal
2018-12-23__10:12:39 0.68,0.56 35.05 43°C normal
2018-12-23__10:12:45 0.67,0.56 27.31 44°C normal
2018-12-23__10:12:51 0.65,0.55 27.55 44°C normal
2018-12-23__10:12:56 0.66,0.56 50.00 45°C normal
2018-12-23__10:13:02 0.69,0.57 28.35 44°C normal
2018-12-23__10:13:08 0.68,0.56 29.00 42°C normal
2018-12-23__10:13:13 0.66,0.56 29.68 44°C normal
2018-12-23__10:13:19 0.65,0.56 32.65 45°C normal
2018-12-23__10:13:24 0.64,0.55 29.14 43°C normal
2018-12-23__10:13:30 0.63,0.55 43.43 44°C normal
2018-12-23__10:13:36 0.62,0.55 47.05 44°C normal
2018-12-23__10:13:41 0.61,0.54 48.74 44°C normal
2018-12-23__10:13:49 0.62,0.55 28.85 43°C normal
2018-12-23__10:13:54 0.63,0.55 31.47 44°C normal
2018-12-23__10:14:00 0.62,0.55 27.91 43°C normal
2018-12-23__10:14:06 0.61,0.54 35.17 44°C normal
2018-12-23__10:14:11 0.60,0.54 51.54 45°C normal
2018-12-23__10:14:17 0.64,0.55 29.75 42°C normal
2018-12-23__10:14:22 0.62,0.55 26.80 42°C normal
2018-12-23__10:14:28 0.61,0.54 40.30 43°C normal
2018-12-23__10:14:34 0.60,0.54 52.76 43°C normal
2018-12-23__10:14:39 0.59,0.54 28.14 44°C normal
2018-12-23__10:14:45 0.58,0.53 60.39 45°C normal
2018-12-23__10:14:51 0.57,0.53 46.93 44°C normal
2018-12-23__10:14:56 0.56,0.53 34.80 44°C normal
2018-12-23__10:15:02 0.55,0.53 26.80 45°C normal
2018-12-23__10:15:12 0.56,0.53 57.63 44°C normal
2018-12-23__10:15:17 0.59,0.54 46.35 45°C normal
2018-12-23__10:15:23 0.58,0.54 27.83 45°C normal
2018-12-23__10:15:29 0.59,0.54 30.28 44°C normal
2018-12-23__10:15:34 0.58,0.54 28.92 42°C normal
2018-12-23__10:15:40 0.57,0.54 39.37 44°C normal
2018-12-23__10:15:46 0.58,0.54 46.53 44°C normal
2018-12-23__10:15:51 0.57,0.54 26.66 44°C normal
2018-12-23__10:15:57 0.59,0.55 40.62 44°C normal
2018-12-23__10:16:03 0.62,0.56 30.36 44°C normal
2018-12-23__10:16:08 0.61,0.55 51.02 45°C normal
2018-12-23__10:16:14 0.60,0.55 41.00 45°C normal
2018-12-23__10:16:19 0.62,0.56 60.78 45°C normal
2018-12-23__10:16:25 0.66,0.57 27.17 46°C normal
2018-12-23__10:16:32 0.66,0.57 51.53 45°C normal
