2018-12-22__20:40:20 0.39 54.27 50°C normal
2018-12-22__20:40:25 0.40 53.00 51°C note
2018-12-23__10:02:43 2.76,2.09 46.23 43°C normal
2018-12-23__10:02:49 2.78,2.10 45.64 43°C normal
2018-12-23__10:02:54 2.76,2.10 45.00 42°C normal
2018-12-23__10:03:00 2.75,2.10 39.79 42°C normal
2018-12-23__10:03:06 2.74,2.10 43.87 42°C normal
2018-12-23__10:03:11 2.74,2.10 46.39 42°C normal
2018-12-23__10:03:17 2.73,2.10 43.21 43°C normal
2018-12-23__10:03:22 2.72,2.10 45.45 43°C normal
2018-12-23__10:03:28 2.71,2.10 44.84 43°C normal
2018-12-23__10:03:34 2.70,2.10 43.00 43°C normal
2018-12-23__10:03:39 2.69,2.10 44.55 43°C normal
2018-12-23__10:03:45 2.66,2.09 43.14 43°C normal
2018-12-23__10:03:50 2.65,2.09 45.17 43°C normal
2018-12-23__10:03:56 2.65,2.10 42.93 43°C normal
2018-12-23__10:04:01 2.64,2.10 48.71 43°C normal
2018-12-23__10:04:07 2.61,2.09 43.36 43°C normal
2018-12-23__10:04:12 2.68,2.12 44.89 43°C normal
2018-12-23__10:04:19 2.68,2.12 44.38 44°C normal
2018-12-23__10:04:24 2.67,2.12 43.71 42°C normal
2018-12-23__10:04:30 2.69,2.13 46.19 42°C normal
2018-12-23__10:04:35 2.68,2.13 42.78 42°C normal
2018-12-23__10:04:41 2.67,2.13 45.77 42°C normal
2018-12-23__10:04:46 2.68,2.13 45.91 42°C normal
2018-12-23__10:04:52 2.65,2.13 46.96 42°C normal
2018-12-23__10:04:57 2.13 43.93 42°C normal
2018-12-23__10:05:03 2.14 44.55 42°C normal
2018-12-23__10:05:09 2.14 44.10 43°C normal
2018-12-23__10:05:14 2.15 43.07 43°C normal
2018-12-23__10:05:20 2.16 44.67 43°C normal
2018-12-23__10:05:30 2.17 44.04 42°C normal
2018-12-23__10:05:35 2.16 43.43 42°C normal
2018-12-23__10:05:41 2.17 43.14 42°C normal
2018-12-23__10:05:46 2.17 44.38 42°C normal
2018-12-23__10:05:52 2.17 48.46 42°C normal
2018-12-23__10:05:57 2.17 43.65 42°C normal
2018-12-23__10:06:03 2.17 43.65 42°C normal
2018-12-23__10:06:08 2.18 45.95 42°C normal
2018-12-23__10:06:14 2.18 42.85 42°C normal
2018-12-23__10:06:20 2.18 46.39 43°C normal
2018-12-23__10:06:25 2.18 47.47 44°C normal
2018-12-23__10:06:31 2.19 48.24 44°C normal
2018-12-23__10:06:36 2.19 46.11 43°C normal
2018-12-23__10:06:42 2.20 55.00 44°C normal
2018-12-23__10:06:48 2.22 51.51 44°C normal
2018-12-23__10:06:53 2.23 48.22 44°C normal
2018-12-23__10:06:59 2.24 59.20 43°C normal
2018-12-23__10:07:04 2.27 43.22 43°C normal
2018-12-23__10:07:10 2.26 56.78 43°C normal
2018-12-23__10:07:16 2.26 44.94 43°C normal
2018-12-23__10:07:22 2.27 49.00 43°C normal
2018-12-23__10:07:31 2.29 47.76 44°C normal
2018-12-23__10:07:36 2.31 45.36 43°C normal
2018-12-23__10:07:42 2.32 47.95 43°C normal
2018-12-23__10:07:47 2.33 49.73 44°C normal
2018-12-23__10:07:53 2.33 50.76 44°C normal
2018-12-23__10:07:58 2.33 52.30 45°C normal
2018-12-23__10:08:04 2.34 46.46 44°C normal
2018-12-23__10:08:09 2.33 46.42 44°C normal
2018-12-23__10:08:15 2.33 46.93 44°C normal
2018-12-23__10:08:21 2.34 50.00 43°C normal
2018-12-23__10:08:26 2.34 46.66 43°C normal
2018-12-23__10:08:32 2.34 46.70 43°C normal
2018-12-23__10:08:37 2.36 47.73 43°C normal
2018-12-23__10:08:43 2.36 47.66 45°C normal
2018-12-23__10:08:48 2.36 53.09 43°C normal
2018-12-23__10:08:54 2.36 51.05 44°C normal
2018-12-23__10:08:59 2.36 46.63 43°C normal
2018-12-23__10:09:05 2.36 48.22 43°C normal
