2018-12-23__10:30:25 /3 24845 00:00:00% bash%
2018-12-23__10:30:25 TTY PID TIME% CMD%
2018-12-23__10:31:00 /3 7721 00:00:01% a.out%
2018-12-23__10:31:00 TTY PID TIME% CMD%
2018-12-23__10:31:36 /3 28463 00:00:00% bash%
2018-12-23__10:31:36 TTY PID TIME% CMD%
2018-12-23__10:32:11 /3 7721 00:00:01% a.out%
2018-12-23__10:32:11 TTY PID TIME% CMD%
2018-12-23__10:32:46 /3 31610 00:00:00% bash%
2018-12-23__10:32:46 TTY PID TIME% CMD%
2018-12-23__10:33:21 /3 1095 00:00:00% bash%
2018-12-23__10:33:21 TTY PID TIME% CMD%
2018-12-23__10:33:57 /3 2793 00:00:00% bash%
2018-12-23__10:33:57 TTY PID TIME% CMD%
2018-12-23__10:34:32 /3 4573 00:00:00% bash%
2018-12-23__10:34:32 TTY PID TIME% CMD%
2018-12-23__10:35:12 /3 6361 00:00:00% bash%
2018-12-23__10:35:12 TTY PID TIME% CMD%
2018-12-23__10:35:47 /3 7721 00:00:01% a.out%
2018-12-23__10:35:47 TTY PID TIME% CMD%
2018-12-23__10:36:23 /3 9765 00:00:00% bash%
2018-12-23__10:36:23 TTY PID TIME% CMD%
2018-12-23__10:36:58 /3 7721 00:00:01% a.out%
2018-12-23__10:36:58 TTY PID TIME% CMD%
2018-12-23__10:37:33 /3 13559 00:00:00% bash%
2018-12-23__10:37:33 TTY PID TIME% CMD%
2018-12-23__10:38:08 /3 7721 00:00:01% a.out%
2018-12-23__10:38:08 TTY PID TIME% CMD%
2018-12-23__10:38:44 /3 17258 00:00:00% bash%
2018-12-23__10:38:44 TTY PID TIME% CMD%
2018-12-23__10:39:19 /3 7721 00:00:01% a.out%
2018-12-23__10:39:19 TTY PID TIME% CMD%
2018-12-23__10:39:54 /3 7721 00:00:01% a.out%
2018-12-23__10:39:54 /5 19854 00:00:00% a.out%
2018-12-23__10:39:54 TTY PID TIME% CMD%
2018-12-23__10:40:29 /3 23579 00:00:00% bash%
2018-12-23__10:40:29 /5 23486 00:00:00% bash%
2018-12-23__10:40:29 TTY PID TIME% CMD%
2018-12-23__10:41:05 /3 7721 00:00:01% a.out%
2018-12-23__10:41:05 /5 19854 00:00:00% a.out%
2018-12-23__10:41:05 TTY PID TIME% CMD%
2018-12-23__10:41:40 /3 28505 00:00:00% bash%
2018-12-23__10:41:40 /5 28258 00:00:00% bash%
2018-12-23__10:41:40 TTY PID TIME% CMD%
2018-12-23__10:42:15 /3 7721 00:00:02% a.out%
2018-12-23__10:42:15 /5 19854 00:00:00% a.out%
2018-12-23__10:42:15 TTY PID TIME% CMD%
